"panel","true_value","rep","ml_width_mu","ml_width_sigma","ml_width_xi"
"mu",1,89,2.14507069008472,1.71127399497964,0.161910297513161
"mu",1,90,2.20231164084894,1.71252118702674,0.156836473197837
"mu",1,91,2.13813531873633,1.76645577462396,0.170816014115096
"mu",1,92,2.28178561965448,1.76782993922715,0.153497150786372
"mu",1,93,2.23412249417628,1.76528488299529,0.150629311868327
"mu",1,94,2.32754723438011,1.80832148822461,0.149402064985578
"mu",1,95,2.29312151077894,1.8791742087557,0.16586245919817
"mu",1,96,2.38436105267074,1.92870689093096,0.165677461229831
"mu",1,97,2.07970667129096,1.66033730300202,0.156815522715746
"mu",1,98,2.19592054694132,1.77138616851199,0.161995131824746
"mu",1,99,2.27154977186528,1.8165294653378,0.163404617760627
"mu",3.04166666666667,0,2.19244522963067,1.7655230284492,0.163373809183407
"mu",3.04166666666667,1,2.2944157642365,1.74851857349496,0.157106436471621
"mu",3.04166666666667,2,2.18503997615699,1.66108845932126,0.146947060549554
"mu",3.04166666666667,3,2.03414927680379,1.58714726688762,0.13858773160149
"mu",3.04166666666667,4,2.19442254872911,1.70993335115723,0.14999854202739
"mu",3.04166666666667,5,2.12085295417032,1.64780380148238,0.149181817576042
"mu",3.04166666666667,6,2.21505407177345,1.73059602856729,0.15846422625666
"mu",3.04166666666667,7,2.1047525589998,1.67433795638314,0.152367742376866
"mu",3.04166666666667,8,2.13441005860227,1.75607469304698,0.145800665248024
"mu",3.04166666666667,9,2.05238579549767,1.65774067693986,0.154126153181171
"mu",3.04166666666667,10,2.2360889695036,1.79163231581072,0.172960460928743
"mu",3.04166666666667,11,2.27298599289806,1.72627938298734,0.15765805201715
"mu",3.04166666666667,12,2.13757021965454,1.7294423050679,0.156503241120128
"mu",3.04166666666667,13,2.22798116436005,1.78336619157139,0.149327329711443
"mu",3.04166666666667,14,2.10499527320675,1.67411540112765,0.134694948770871
"mu",3.04166666666667,15,2.21835043274815,1.77561968440258,0.168044887931446
"mu",3.04166666666667,16,2.22656902534475,1.73912840753412,0.158140325860966
"mu",3.04166666666667,17,2.13954830352656,1.70799262214492,0.174686156334443
"mu",3.04166666666667,18,2.06706309963473,1.63279545918937,0.159652669643693
"mu",3.04166666666667,19,2.20656988311864,1.81698077983789,0.158895713102129
"mu",3.04166666666667,20,2.1733356033874,1.71080370787853,0.17170220345552
"mu",3.04166666666667,21,2.11649537171981,1.72142071477872,0.15771677156645
"mu",3.04166666666667,22,2.04218399812893,1.65653357172945,0.172622155346484
"mu",3.04166666666667,23,2.09358543800734,1.62080692252333,0.149007764035852
"mu",3.04166666666667,24,2.04475030244746,1.67898042640961,0.169070000555131
"mu",3.04166666666667,25,2.31322567982147,1.82508891202238,0.153888666922833
"mu",3.04166666666667,26,2.06092174279435,1.67146687285082,0.172146113523086
"mu",3.04166666666667,27,2.09792316019944,1.63392636545495,0.147053074276822
"mu",3.04166666666667,28,2.35747326237907,1.89222500432771,0.153606571679261
"mu",3.04166666666667,29,2.15712535763258,1.71737817854212,0.16114507889711
"mu",3.04166666666667,30,2.08441956529068,1.57808391811805,0.152042212982874
"mu",3.04166666666667,31,2.0654576621399,1.63021097125184,0.14955530293792
"mu",3.04166666666667,32,2.1800981648846,1.74811195618843,0.163778790822197
