panel,true_value,rep,nn_width_mu,nn_width_sigma,nn_width_xi
mu,5.083333333333333,59,2.3187466687789673,1.754012164671897,0.1557975798845291
mu,5.083333333333333,60,2.0918203232153134,1.9707057387265756,0.17635669261217118
mu,5.083333333333333,61,2.3685345958154063,2.0650318866112585,0.1628793559968471
mu,5.083333333333333,62,2.2728384758111178,2.035071143068066,0.16388301625847812
mu,5.083333333333333,63,2.247908369033417,1.9540901286259231,0.16942063197493554
mu,5.083333333333333,64,2.118594836432373,1.8532215427199699,0.16922705024480816
mu,5.083333333333333,65,2.1977416803879546,1.949797201970954,0.16499751210212707
mu,5.083333333333333,66,2.233431995965616,1.7883124436482927,0.16667406633496282
mu,5.083333333333333,67,2.526035108300821,2.2903006544643123,0.16586277708411218
mu,5.083333333333333,68,2.1795933419483413,2.149181843074551,0.16197353601455688
mu,5.083333333333333,69,2.372275648520451,2.0823580913426074,0.16846340149641037
mu,5.083333333333333,70,2.370964638309131,2.0507883277445433,0.15709552168846125
mu,5.083333333333333,71,2.0222703426840387,1.8478764483688987,0.15840571895241737
mu,5.083333333333333,72,2.0687007646021938,1.8232936162235376,0.17080138102173803
mu,5.083333333333333,73,2.545506558533369,2.2902699760980596,0.17927215918898579
mu,5.083333333333333,74,2.1830072962899907,1.9039014532143863,0.16155386567115784
mu,5.083333333333333,75,2.170061785356312,2.1590978036521786,0.1816229403018951
mu,5.083333333333333,76,2.129788505189347,1.8500815151438683,0.16630337983369825
mu,5.083333333333333,77,2.3305267244803956,2.018852782565707,0.16716193035244942
mu,5.083333333333333,78,2.3901026644739054,2.1565398035746526,0.16676866114139557
mu,5.083333333333333,79,2.054536549242383,1.727586200218541,0.1561018705368042
mu,5.083333333333333,80,2.407179028699528,2.139470077800416,0.17451806217432023
mu,5.083333333333333,81,2.435113647966939,2.1542623566482426,0.17326486483216283
mu,5.083333333333333,82,2.008633877081054,1.8263084948386918,0.17222638949751853
mu,5.083333333333333,83,2.268871871294026,2.14032623474154,0.1685999684035778
mu,5.083333333333333,84,2.0602940692928646,1.9896625717092054,0.16988855972886083
mu,5.083333333333333,85,1.9940250880687111,1.8307240122802781,0.16800313442945478
mu,5.083333333333333,86,2.3532431290886056,1.9156832904067276,0.16043114028871058
mu,5.083333333333333,87,2.397437425907264,1.9866844829774628,0.1545233242213726
mu,5.083333333333333,88,2.1528875058167305,1.9999085604389055,0.17535825446248052
mu,5.083333333333333,89,2.363433241121821,1.989480607425083,0.1682289686053991
mu,5.083333333333333,90,2.289279257417041,2.009271251656502,0.17243060544133185
mu,5.083333333333333,91,2.211269202046594,2.2012861197108915,0.17277842089533807
mu,5.083333333333333,92,2.2847806291464012,1.963067879384175,0.16097631081938746
mu,5.083333333333333,93,2.1320893432605366,1.85524285118988,0.16086960285902022
mu,5.083333333333333,94,2.376407580023037,2.170740035214987,0.16960034295916554
mu,5.083333333333333,95,2.4569436220798773,2.2462897528384396,0.1694574184715748
mu,5.083333333333333,96,2.17393316733709,2.0665359035092035,0.17013940364122387
mu,5.083333333333333,97,2.1527246303660386,1.849371831834544,0.15345295071601867
mu,5.083333333333333,98,2.3407852807493406,2.103151580194311,0.16696235910058024
mu,5.083333333333333,99,2.1658835851080096,2.0475598376278334,0.1719891160726547
mu,7.125,0,2.1081973972553607,1.937117504681133,0.16178191453218457
mu,7.125,1,2.347597553339578,1.9718624432407914,0.1618793826550245
mu,7.125,2,2.24331698567884,2.085815416824877,0.17430596947669985
mu,7.125,3,2.4950198097743446,2.215875288563341,0.17765472531318663
mu,7.125,4,2.233402590340095,1.9638716820758084,0.16132227107882502
mu,7.125,5,2.1895208780556166,1.9945448243729853,0.18259897753596305
mu,7.125,6,2.189917679764828,1.911176271466056,0.16864660196006298
mu,7.125,7,2.2218200898928364,2.044327236679729,0.17308854982256888
mu,7.125,8,2.2918770853764956,2.1621571707701506,0.1661706916987896
mu,7.125,9,2.29709145990359,2.1897289147280574,0.16790877282619476
mu,7.125,10,2.343191767742778,2.174715600485568,0.16972156986594203
mu,7.125,11,2.2166594167721643,1.9767510063059532,0.17465755119919774
mu,7.125,12,2.1380225755666045,1.9776340307304974,0.16718377843499183
mu,7.125,13,2.07385758954858,1.8941680804709922,0.17386603653430935
mu,7.125,14,2.3624830020820378,2.1979973530763566,0.17808283641934394
mu,7.125,15,2.2581396073008584,2.0158468984320717,0.17493042871356007
mu,7.125,16,2.0753159162395294,1.7480304986278075,0.17150352075695993
mu,7.125,17,2.340912957847972,2.0318392898173467,0.16134242787957193
mu,7.125,18,2.3647193967878968,2.127535870320221,0.17021765187382695
mu,7.125,19,2.2672545388659193,2.1576615360688667,0.17873767986893657
mu,7.125,20,2.4880929557623386,2.2533746741585094,0.17089186608791346
mu,7.125,21,2.2879198631864224,2.0136444572265724,0.1679688051342964
mu,7.125,22,2.3266296260959898,1.9340161534046185,0.1672223575413227
mu,7.125,23,2.346760613713375,1.9450405029540292,0.16137538701295853
mu,7.125,24,2.3655312644223754,2.1352376644557527,0.16964397951960564
mu,7.125,25,2.067217082231779,1.8769320611084943,0.16614629626274108
mu,7.125,26,2.189343081331722,1.952096757802689,0.16443073749542234
mu,7.125,27,2.434789278819375,2.304480943470306,0.1731657698750496
mu,7.125,28,2.3773261675981345,2.1516445840092455,0.17161164507269858
mu,7.125,29,2.299408034409314,1.9770683330465761,0.15993248224258422
mu,7.125,30,2.167862550574955,2.0030019696856236,0.16221921443939205
mu,7.125,31,2.1902619090781794,1.6963814927674576,0.16899896822869775
mu,7.125,32,2.462638775720749,2.1267606774499246,0.16074183806776998
mu,7.125,33,2.324333004623133,1.9867687950677961,0.1742527306079864
mu,7.125,34,2.4267647128264835,1.908396190316223,0.17132395952939983
mu,7.125,35,2.1158477842556085,1.9658150665457867,0.17087844237685204
mu,7.125,36,2.134838769594639,1.8868485131323158,0.1725232295691967
